,GEOID,totalpop,party,full_name,gini_index_of_income_inequality,median_household_income,white,black,amerindian_native,asian,hawaiian_pacific,other_race,two_more_races,hispanic_latino,citizen_voters,state_district,lackinsurance,csmoking,diabetes,obesity,ghlth,mhlth,url,twitter
243,4218,683571.0,Democrat,Michael F. Doyle,0.4976,52307.0,506153.0,122406.0,1251.0,28496.0,157.0,3689.0,21419.0,16804.0,544390.0,PA-18,0.083,0.19,0.099,0.287,0.156,0.129,https://doyle.house.gov,USRepMikeDoyle
244,5102,743410.0,Democrat,Elaine G. Luria,0.4402,71088.0,491633.0,149840.0,2357.0,44229.0,479.0,18438.0,36434.0,63771.0,559397.0,VA-02,0.12,0.157,0.092,0.28600000000000003,0.133,0.114,https://luria.house.gov,RepElaineLuria
245,3709,792434.0,Republican,Dan Bishop,0.5209,61156.0,510575.0,153740.0,61608.0,29200.0,438.0,17248.0,19625.0,63584.0,561804.0,NC-09,0.159,0.177,0.109,0.325,0.188,0.132,https://danbishop.house.gov,RepDanBishop
246,1218,780772.0,Republican,Brian J. Mast,0.4966,60483.0,611308.0,104795.0,381.0,17963.0,525.0,21936.0,23864.0,128302.0,599873.0,FL-18,0.192,0.16399999999999998,0.107,0.26,0.17600000000000002,0.122,https://mast.house.gov,repbrianmast
247,1303,740700.0,Republican,A. Drew Ferguson IV,0.4601,60265.0,499401.0,188551.0,3992.0,16496.0,894.0,14394.0,16972.0,45194.0,548941.0,GA-03,0.171,0.171,0.10099999999999999,0.32,0.175,0.12300000000000001,https://ferguson.house.gov,RepDrewFerguson
248,2703,723994.0,Democrat,Dean Phillips,0.4698,90442.0,569372.0,63310.0,1360.0,55202.0,339.0,10189.0,24222.0,29677.0,517834.0,MN-03,0.081,0.111,0.063,0.23800000000000002,0.095,0.085,https://phillips.house.gov,RepDeanPhillips
249,4202,727380.0,Democrat,Brendan F. Boyle,0.4884,42568.0,333199.0,196199.0,2602.0,57767.0,315.0,109753.0,27545.0,190084.0,496510.0,PA-02,0.139,0.21,0.11699999999999999,0.306,0.222,0.155,https://boyle.house.gov,CongBoyle
250,4701,720358.0,Republican,Diana Harshbarger,0.4726,43606.0,677690.0,15508.0,2400.0,5702.0,972.0,4987.0,13099.0,28015.0,563918.0,TN-01,0.151,0.22899999999999998,0.124,0.33899999999999997,0.228,0.14800000000000002,https://harshbarger.house.gov,RepHarshbarger
251,5301,768363.0,Democrat,Suzan K. DelBene,0.4378,100810.0,594158.0,10649.0,9426.0,92675.0,1210.0,25332.0,34913.0,68076.0,519555.0,WA-01,0.08199999999999999,0.114,0.071,0.251,0.11900000000000001,0.11,https://delbene.house.gov,RepDelBene
252,3624,701664.0,Republican,John Katko,0.4609,58526.0,591774.0,62932.0,3461.0,17694.0,105.0,5772.0,19926.0,32587.0,539797.0,NY-24,0.08900000000000001,0.172,0.091,0.29,0.16,0.131,https://katko.house.gov,RepJohnKatko
